dim,diag,kappa,iters,conv,eta
2,"(1, 2)",2.0,37,True,0.3333333333333333
2,"(1, 10)",10.0,186,True,0.06666666666666667
2,"(1, 100)",100.0,1558,True,0.006666666666666667
