dim,diag,kappa,iters,conv,eta
3,"(1, 5, 20)",20.0,356,True,0.03333333333333333
3,"(1, 3, 5)",5.0,95,True,0.13333333333333333
3,"(1, 10, 50)",50.0,829,True,0.013333333333333334
