eta,iters,conv
0.001,2619.0,True
0.011183673469387756,283.0,True
0.02136734693877551,153.0,True
0.031551020408163266,105.0,True
0.04173469387755102,79.0,True
0.051918367346938776,64.0,True
0.06210204081632653,53.0,True
0.07228571428571429,45.0,True
0.08246938775510204,39.0,True
0.0926530612244898,34.0,True
0.10283673469387755,30.0,True
0.1130204081632653,27.0,True
0.12320408163265306,24.0,True
0.13338775510204082,22.0,True
0.14357142857142857,20.0,True
0.15375510204081633,18.0,True
0.16393877551020408,16.0,True
0.17412244897959184,15.0,True
0.1843061224489796,13.0,True
0.19448979591836735,12.0,True
0.2046734693877551,11.0,True
0.21485714285714286,10.0,True
0.2250408163265306,8.0,True
0.23522448979591837,7.0,True
0.24540816326530612,6.0,True
0.2555918367346939,6.0,True
0.26577551020408163,7.0,True
0.2759591836734694,9.0,True
0.28614285714285714,10.0,True
0.2963265306122449,11.0,True
0.30651020408163265,12.0,True
0.3166938775510204,14.0,True
0.32687755102040816,15.0,True
0.3370612244897959,17.0,True
0.3472448979591837,19.0,True
0.35742857142857143,21.0,True
0.3676122448979592,23.0,True
0.37779591836734694,26.0,True
0.3879795918367347,29.0,True
0.39816326530612245,33.0,True
0.4083469387755102,38.0,True
0.41853061224489796,43.0,True
0.4287142857142857,51.0,True
0.43889795918367347,61.0,True
0.4490816326530612,74.0,True
0.459265306122449,95.0,True
0.46944897959183673,129.0,True
0.4796326530612245,198.0,True
0.48981632653061224,403.0,True
0.5,,False
